State|Year|Page|N_Pages|Text
New Hampshire|2009|72|82|Establish a comprehensive education program on energy efficiency and renewable energy to help close the tremen- dous gap that exists between knowledge and practice. It is estimated that just by using current technology correctly and efficiently we could cut building energy consumption and associated greenhouse gas emissions by 30 percent. In the proposed action, state government, utility companies, colleges, professional and building trade organizations, would sponsor ongoing training and offer demonstration sites for energy-efficient and renewable energy practices. The program would provide accessible resources and educational opportu- nities to any individuals and organizations that design, build, evaluate/rate, maintain, sell, own, and occupy buildings. It would be of particular value to contractors, code officials, and energy raters, and would establish working groups for build- ing managers and real estate agents. The program would be established and administered at various settings throughout the state, including demonstration centers, community col- leges, training seminars.
New Jersey|2009|58|259|The State's land and cultural assets constitute a valuable infrastructure, as much as highways and bridges, and as such require a recurring, broad-based investment in stewardship. This "green" infrastructure (of forests, meadows, watersheds and wildlife habitats, freshwater wetlands and tidal marshes, working farms and agricultural landscapes) has an even more vital role than physical infrastructure in that it provides essential ecosystem services including climate regulation and carbon storage and sequestration.
New Jersey|2009|68|259|The Port Authority of New York and New Jersey, the U.S. Maritime Administration, and others are considering a new generation of waterborne commerce as an alternative to truck and rail movements for some container movements. Containers could potentially be moved from New Jersey facilities in the Port of New York and New Jersey by barge or special vessels to Raritan Center, Camden, Paulsboro or Salem for example, reducing land traffic and potentially reducing vehicle emissions. Future developments could include port-to-port movements along the Eastern seaboard.
New Jersey|2009|114|259|Equally as important, in terms of climate change, to the number of vehicle miles accumulated in the State is the number of individuals in each vehicle. Private automobiles remain the most commonly used mode of travel for people living in the United States, and this is true for New Jersey residents as well. According to data from the U.S. Census Bureau, most New Jersey workers (71.8 percent) drive alone to work.136 While this rate is lower than that of most U.S. workers, including those workers living in Pennsylvania and Connecticut, it is higher than that of workers living in New York State. Slightly over 10 percent of New Jersey workers take public transportation to work, while 9.2 percent carpool, 3.2 percent walk to work and 3.3 percent work at home.137
New Jersey|2009|163|259|For existing buildings (GB-2), the goal is for the State of New Jersey to develop and facilitate State Green Building Remodeling, Operation, and Maintenance Programs for all Existing Residential and Commercial Buildings through existing and emerging state programs. In anticipation of the release of the New Jersey’s Green Building Manual in the Summer of 2010, which will be used by State agencies to identify specific actions to incorporate into regulatory and / or incentive-based programs to facilitate new and existing green buildings, the next 18 months will be used to build capacity in the emerging green building industry in New Jersey.
New Jersey|2009|237|259|As a direct consequence of the greenhouse gas effect, the greenhouse gas reduction benefits occur throughout the world, although New Jersey is particularly affected by global climate change as discussed in the Supporting Recommendations. Moreover, the greenhouse gas reduction benefits due to the Supporting Recommendations depend on reductions in greenhouse gas emissions by other states and countries. The non-greenhouse gas reduction benefits accrue primarily, if not exclusively, to New Jersey. In many cases, the benefits, whether greenhouse gas related or not, are uncertain. In other words, wide variations exist among the various estimates of the economic benefits.
New Mexico|2006|20|96|The costing approach used was similar to a conventional cost-benefit framework but had some important differences: Benefits vs costs. The principal benefit of the CCAG options is reduced GHG emissions and these were quantified simply as tons. There was no attempt to monetize the benefit of these reductions. Many options did create easily monetized non-GHG benefits, e.g., fuel savings and electricity savings. In these cases, monetized benefits were subtracted from monetized costs, resulted in net costs. These net costs could be positive or negative; negative costs indicated that the option saved money or produced “cost savings.”
New Mexico|2006|27|96|The State’s gross GHG emissions increased by about 21% during the 1990s, somewhat slower than the US as a whole, where emissions rose by 23%. This slower increase appears largely attributable to a few key factors, in particular limited growth in new power generation facilities and the decline of the mining industry and its fuel and electricity requirements. Were it not for these factors, New Mexico’s emissions could well have increased as fast as, or faster than, the national average, given the State’s more rapid population and economic growth.5 Transportation-related GHG emissions, which are driven directly by fuel use and in turn by population, rose by 29% in the 1990s, and represent one of the State’s fastest growing GHG emissions sources.
New Mexico|2006|34|96|Other key sources of emissions growth include direct use of fuels in the residential, commercial, and non-fossil fuel industrial sectors, the switch to use of HFCs as substitutes for ozone- depleting substances, and methane emissions from dairy herds.
New Mexico|2006|55|96|Building codes will be amended to reduce the building energy needs in areas including but not limited to HVAC systems, daylighting design to reduce lighting needs, electric lighting design, building envelope design, using integrated building design strategies.
New Mexico|2006|83|96|The CCAG recommends that New Mexico increase its efforts to reuse land that is already developed but is now vacant, underused, or even mildly polluted, and meet the growing demand by a larger number of households comprised of singles, working parents and single parents for housing located close to services, jobs and transit. New Mexico should move beyond current policies in this area, and:  Use fiscal, tax and other financing mechanisms to remove barriers to and otherwise support recycling of existing buildings and underused land.  Adapt planning policies and regulations to give infill and brownfield sites priority for development over sprawling sites at the edges of communities. Include New Mexico government and educational units in these adapted policies and regulations, so that state government buildings, universities, and public schools do not contribute to sprawl.
New York|2010|17|428|To fund some policy proposals, New York State will need to identify new funding mechanisms of sufficient magnitude and duration to catalyze a change in how we produce or use energy. Such funding sources could be created by a combination of carbon pricing, federal cost sharing, and public-private partnerships. Leveraging private capital will be absolutely critical to achieving a goal as bold as 80 by 50. Public funding should come from sources that directly link revenue generation to GHGs, promoting efficiency and low-carbon technologies, and avoiding burdens on desired activities such as economic activity and employment.
New York|2010|26|428|Growth rates of fuel use for space heating, industrial processes, transportation, and electricity demand, the principal determinants of New York’s future GHG emissions, are driven by economic, demographic, and land-use trends, which are difficult to predict. Improving forecasts of growth patterns and transportation system impacts will be a crucial task for climate planners going forward.
New York|2010|117|428|All the scenarios include four core strategies to reduce GHG emissions:  Energy conservation through energy efficiency, which is the simplest and the most cost-effective strategy.  Reducing combustion of fossil fuels, another obvious strategy because combustion accounts for about 85 percent of all GHG emissions in New York State. All scenarios minimize point sources of combustion (such as vehicles and oil or natural gas heating appliances), and rely principally on low-emission electricity. The scenarios assume combustion of fossil fuels only when and where necessary, or with controls to effectively limit GHG emissions.  Fuel switching to minimize the GHG footprint where combustion must still be used, as in aviation and cement production.  Local, point-of-use renewable energy technologies (such as solar) employed to reduce the reliance of homes and businesses on centrally generated electricity.
New York|2010|299|428|Differences in farm and herd size are also potentially significant factors in determining vulnerability and capacity to adapt to climate change. Comparison of small versus large farms throughout the state reveals significant differences in the costs, milk production per cow, capital efficiency, income, and profitability. All of these differences may affect the overall capacity of smaller farms to adapt to climate change, particularly if such adaptation requires significant new outlays of capital for the purchase and installation of cooling systems in dairy barns, as well as additional costs associated with energy for operating the equipment, and the installation of on- farm renewable energy generation.
New York|2010|386|428|Industries and private corporations throughout New York have already been successful in creating or attracting clean energy businesses and jobs. The sector already boasts 3,300 clean energy businesses employing over 34,000 people, making the State a national and international leader in the sector.15 These businesses include large corporations and small startups alike. For example, General Electric recently opened its $45 million Renewable Energy Global Headquarters in Schenectady, New York. Emphasizing smart growth principles, GE created 650 new jobs in the city, with the capacity for growth in the future. Another example of new economic development is Global Foundries’ new semiconductor manufacturing facility in Saratoga County, currently the largest economic development project in the country.16 This facility is expected to bring over a thousand jobs to the local economy.
Oregon|2010|6|173|The Oregon Global Warming Commission reaffirms its support and advocacy for a national carbon cap or other means to regulate and reduce greenhouse gas emissions economy‐wide, as previously asserted in Resolution 2009‐1‐009, and will communicate with the President and with Oregon’s Congressional Delegation to this effect.
Oregon|2010|37|173|A “usage” charge would reflect miles traveled in the system and how efficiently those miles are traveled. The usage charge would reflect miles traveled by different modes (e.g., auto, bus, train, bicycle) and the efficiency of the mode (e.g., an average emissions per VMT/passenger for a bus rider; an efficiency rating that might be captured instead as a graduated registration fee within the “access” charge).
Oregon|2010|61|173|Improve tools and transparency to accurately show how freight moves through the system in order to improve efficiency of freight movement and infrastructure investment. This includes the development and deployment of Intelligent Transportation System (ITS) elements to inform drivers of existing conditions and route alternatives as well as the collection and sharing of truck trip routing data to identify where operational or infrastructural inefficiencies exist.
Oregon|2010|75|173|Oregon financing and incentives have not directly targeted GhG emissions reductions. Energy efficiency and renewable resource incentives and finance have resulted in GhG reductions. Oregon’s largest industrial natural gas uses are not eligible for public purpose charge incentives or services. Access to GhG specific incentives and financing will help industry to set goals for reductions while providing ready, assured, fixed rate and terms finance. Coupled with focused cross‐cutting technology knowledge, service and implementation assistance, bond backed financing of industrial GhG reduction efforts will improve industry profitability, provide employment and sustain accomplishment of industry GhG emissions reductions. Maintain and expand state incentives and financing that target industry GHG. Review, evaluate and adopt the most effective emerging or innovative funding mechanisms, particularly those that leverage private dollars Increase Energy Trust of Oregon (ETO) initiatives for industry. Encourage congressional delegation to expedite energy legislation with expansion of investment tax credit to GHG.
Oregon|2010|166|173|In‐vessel anaerobic digestion (AD) offers an alternative to composting as a method of recovering value from food waste. AD rapidly decomposes food waste and produces three outputs of value: biogas that can be used to generate electricity, heat, and an undegraded waste remnant that can be further stabilized via composting. Advocates for AD have suggested that feed‐in tariffs would help to make AD economically viable in Oregon (and elsewhere). A feed‐in tariff guarantees a producer of electricity from renewable sources (such as AD) access to the grid and a guarantee of a long‐term price for power produced that covers the difference between the actual cost to produce the electricity and what utilities are otherwise willing to pay for it. The State should provide a feed‐in tariff for anaerobic digestion.
Pennsylvania|2019|39|231|Macro-economic modeling (e.g., changes in jobs) was conducted using the REMI PI+ model. This is a structural economic forecasting and policy analysis model that integrates several analytic techniques including input-output, computable general equilibrium (CGE), econometric, and economic geography methodologies. REMI is a dynamic model, with forecasts and simulations to include behavioral responses to wage, price, and other economic factors. It can be used for estimating national, regional, and state-level impacts of any policy changes. The dynamic modeling framework supports the option to forecast how changes in the economy, and adjustments to those changes, will occur on an annual basis.
Pennsylvania|2019|61|231|Implement a strategic plan and incentives for increasing electric vehicle use in line with the PA’s Electric Vehicle Roadmap (PA DEP 2018a). Tactics might include: encouraging workplace charging; incentivizing the purchase of alternative, low, and zero emissions vehicles through financial mechanisms or programs; and expanding electrification for off-road applications, including vehicles, construction, and materials handling equipment. More specifics for implementing this action can be referenced in the Electric Vehicle Roadmap.
Pennsylvania|2019|115|231|Install water-efficient technologies and better water-saving practices, such as toilets, faucets, laundry equipment, commercial ice machines, combination ovens, steam cookers, steam kettles, wok stoves, dipper wells, pre-rinse spray valves, food disposals, commercial dishwashers, and wash-down sprayers. Use non-potable water sources or reclaimed water for non-potable uses (e.g., industrial cooling, landscape irrigation) with adequate public health safeguards.Increase water recycling in industrial processes. Install smart water meters that allow different rates to be charged when overall system demand is higher. Monitor water use and educate facility staff, building occupants, employees, and visitors about water use and water management. Ensure that your facilities have leak detection and repairs performed regularly. Use soil moisture sensors that water plants based on their needs by measuring the amount of moisture in the soil and tailoring the irrigation schedule accordingly. Use rainfall shutoff devices and rain sensors to decrease water waste by turning off the sprinklers in rainy weather. Use natural or constructed means (e.g., green roofs, rain barrels, cisterns) to harvest rainwater.
Pennsylvania|2019|128|231|Emission reductions from strategies that affect the electricity generation fuel mix (e.g., utility scale renewable generation, nuclear generation, cap and trade) are accounted for in the energy consumption sector based on the reduction in the electricity consumption emission factor (i.e., a reduction of carbon intensity of the grid). Distributed renewable electricity generation is also accounted for as reductions to energy consumption emissions. Thus, emissions from these strategies are compared to the BAU emissions from energy consumption. Emissions reductions from coal mine methane capture and upstream oil and natural gas are accounted for in the energy production sector, so these are compared to the BAU emissions from energy production.
Pennsylvania|2019|198|231|Finally, the CAP also makes positive recommendations in the area of supporting research and development to better assist farmers in handling weather events and better adapting to weather conditions, including establishing a network of agro-meteorological stations statewide to collect climate observations, including estimates of evapotranspiration, to support research and development of agricultural practices; expanding the collection and dissemination of local weather information for irrigation planning; improving the accuracy of existing real-time weather warning and forecasting systems for drought and extreme events; and developing and disseminating seasonal climate forecasts.
Rhode Island|2002|14|44|Also the Group stresses the importance of Rhode Island needing to continue to monitor new technologies as well as programs and policies adopted by other jurisdictions to identify opportunities to improve Rhode Island’s in-state GHG reduction programs and policies. To this end, the Stakeholders agree that the Rhode Island GHG Plan should be reviewed every 3-5 years to ensure that it is appropriate and achievable, and reflects the best technologies and program/policy designs, as well as the right mix of local, regional and national initiatives, and to adjust its targets and Plan accordingly. The Group further notes that the options delineated in the next section would need to be coordinated among a wide range of entities including state agencies, local government, the Legislature, businesses, and citizens. To this end the Group acknowledges the importance of having one entity such as state agency serve in a shepherding (i.e., coordinating and tracking) role.
Rhode Island|2002|20|44|This new program would target facilities heated with natural gas or oil in order to conserve fossil fuel. New sources of funding such as a gas/oil system benefit charge and/or Energy Office resources would be needed and could be used to support this program, which could be structured like Narragansett Electric Company’s SBC-funded current “Energy Initiative” program for facilities heated with electricity. The program would provide education, program marketing and/or contractor training as well as financial incentives.
Rhode Island|2002|24|44|This program would expand programs of the Rhode Island Department of Environmental Management, the Rhode Island Tree Council and the Statewide Planning Program to expand tree cover and thus achieve energy savings as well as other environmental and aesthetic benefits.
Rhode Island|2002|28|44|A policy to increase the gasoline tax by $0.50 per gallon would provide an incentive to purchase more fuel-efficient vehicles and to encourage more efficient travel choices. It could be explicitly tax-revenue neutral, thus not increasing overall household taxes, via complementary income-tax reductions, or it could be implicitly tax-revenue neutral by providing the funding for the rebate portion of the feebate system. The Stakeholder Group was unable to reach consensus due to significant disagreement about the wisdom and feasibility of a gasoline tax and its relative priority. The group discussed several options, including putting it in the higher priority category with clearly expressed uncertainty or the lower priority category because of the political and social barriers. The Group did agree on a need for more research, analysis and discussion to assess this option, including elasticities, neighboring state effects, the advisability of state vs. federal taxes and equity issues.
Rhode Island|2002|30|44|The Stakeholder Group acknowledges that the idea of VMT-based insurance is potentially promising, but the members felt that RI should not be the first to implement such a program. The Group agreed to recommend monitoring developments in this area and keep it open as a possibility. It also agreed that this program may be more effective regionally.
Rhode Island|2016|22|89|The transition to a clean energy economy offers significant opportunities for economic development and job creation in Rhode Island.30 The vast majority of current expenditure on fossil fuels exits our state because no natural gas or petroleum is produced or refined in the region. With a shift to a greater use of local and regional clean energy resources, however, Rhode Island can keep more energy dollars and jobs in-state. State policymakers should continue to place a priority on fostering nascent local clean energy industries, supporting innovation in clean energy, providing workforce training, and assisting incumbent fossil fuel industries (e.g., the delivered fuels industry) and disadvantaged communities with resources to excel in the burgeoning clean energy marketplace.
Rhode Island|2016|39|89|Reference case projections in the electric power sector are driven by Rhode Island’s requirements for electricity. To represent the electric power sector through the year 2050, two processes must be modeled: the expansion of generating capacity including power plants, technologies and other resources (such as electricity imports and demand resources), as well as the operation (or dispatch) of these resources to meet electric load.
Rhode Island|2016|45|89|The land-use, land-use change, and forestry (LULUCF) sink was added to 1990 based on available land cover datasets (downloaded from the Rhode Island Geographic Information System (RIGIS) website http://www.rigis.org/), estimates of carbon stocks for each land cover type (Abt Associates 2015), and trends in carbon dynamics from the EPA State Inventory Tool (U.S. Environmental Protection Agency 2015b). RIGIS land cover datasets were available for the years 1988, 1995, 2003/2004, and 2011. These were used to identify historical changes in acreage of multiple land cover classes, including three types of forest. These historical changes were interpolated across the dataset years to derive an estimate for the 1990 Rhode Island GHG inventory.
Rhode Island|2016|49|89|A fraction of behind-the-meter generation capacity (determined from ISO-NE (2015b)) does not need to be represented explicitly in the model because it is assumed to be embedded in the AEO-derived demand projections and therefore embedded in the load curves used in the model. Other behind- the-meter capacity is included in the electricity supply model, where its production contributes to meeting demand and load. Projected growth in behind-the-meter capacity is taken from ISO-NE’s Distributed Generation Forecast, which accounts for the incentives provided by net metering in Rhode Island and other New England states (ISO New England 2015b).
Rhode Island|2016|69|89|Despite the northern latitude, rooftop solar PV has a relatively large technical potential across New England relative to electricity demand, based on a 2016 NREL report. The NREL report notes that even though solar is a below-average resource in New England compared to other U.S. regions, the amount of generation needed is offset by the New England states’ below average per-capita electricity consumption. Within Rhode Island, NREL estimates a technical potential for rooftop solar PV generation in an amount greater than 55% of the state’s total electricity sales in 2013. The New England states as a whole have the technical potential to generate electricity from rooftop solar PV in an amount greater than 50% of the region’s 2013 electricity sales (NREL 2016).
South Carolina|2008|15|121|H. 3649 enhances incentives for biomass energy development by removing legislative caps on tax credits for biomass energy equipment, biodiesel and ethanol production, and other alternative energy incentives. It also removes caps on incentive payments for alternative fuel retailers and biomass energy producers.
South Carolina|2008|31|121|The CECAC presents this report covering:  An inventory of historical, current, and forecasted GHG emissions in South Carolina;  A description and analysis of recent policies and programs that will reduce GHG emissions in South Carolina;  GHG emission reduction goals for South Carolina and recommended policies to achieve these goals;  Recommended mechanisms for implementing these goals and policies across all sectors of South Carolina’s economy;  Estimated GHG emission reductions from the recommended policies, expressed in metric tons of carbon dioxide equivalents (tCO2e);  Consideration of the costs or cost savings associated with the recommendations; and  Challenges inherent in each recommendation, as well as feasibility issues.
South Carolina|2008|54|121|Emissions of aerosols, particularly “black carbon” from fossil fuel combustion, could have significant climate impacts through their effects on radiative forcing. Estimates of these aerosol emissions on a CO2e basis were developed for South Carolina based on 2002 and 2018 data from the Visibility Improvement State and Tribal Association of the Southeast (VISTAS) regional planning organization. The results for current levels of black carbon emissions were a total of 7.0 MMtCO2e, which is the mid-point of a range of estimated emissions (4.5–9.6 MMtCO2e) in 2002. Based on an assessment of the primary contributors, it is estimated that black carbon emissions will decrease substantially by 2018 after new engine and fuel standards take effect in the on-road and nonroad diesel engine sectors. These estimates are not incorporated into the totals shown in Table 2-1, because a global warming potential for black carbon has not yet been assigned by the Intergovernmental Panel on Climate Change (IPCC).
South Carolina|2008|70|121|Recommended steps to respond to the identified impacts, so as to minimize risk in South Carolina to humans, natural and economic systems, water resources, temperature-sensitive populations and systems, energy systems, transportation systems, communications systems, vital infrastructure and public facilities, natural lands (such as coastal areas, wetlands, forests, and farmland).
South Carolina|2008|100|121|South Carolina can achieve greater alternative fuel use through a combination of voluntary and mandatory measures. The Low-GHG Fuel Standard (TLU-12) can increase the use of ethanol and biodiesel, and the policies recommended in Chapter 7 (Option AFW-4) can promote in-state production of these fuels through methods with lower lifecycle GHG emissions. The Low-GHG Fuel Standard would also promote the use of vehicles powered by electricity or hydrogen. When produced from renewable sources, these fuels can dramatically reduce GHG emissions. Tax Credits for Efficient Vehicles (TLU-3) and the promotion of expanded Alternative Fuel Infrastructure (TLU-6) would offer incentives to consumers and retailers to use more alternative fuels.
Virginia|2008|29|124|Many recommendations will provide ancillary environmental benefits. For example, growing cellulosic energy crops or algae for biodiesel can result in reduced nutrient runoff into the Chesapeake Bay and other waters. Other actions can reduce emissions of regulated air pollutants such as sulfur dioxide, nitrogen oxides and toxics, while others will minimize the amount of waste placed in landfills. Also, efforts to conserve land so as to protect existing carbon sinks in forests, farmlands, and wetlands helps advance the Commonwealth’s longstanding land conservation goals to preserve habitat, support key industries, and provide clean water.
Virginia|2008|34|124|Recommendations for implementing carbon capture and geologic sequestration 8A. Fund carbon capture and storage research and development in unminable coal seams and emission-free energy sources.
Virginia|2008|38|124|The Secretary of Transportation should ensure that climate change impacts, particularly sea level rise and storm surge vulnerability in coastal areas of Virginia, are taken into account in all transportation planning, project design, and prioritization of projects for funding as well as transportation systems management, operations, and maintenance. Where existing transportation infrastructure already is vulnerable to sea level rise, more intense storm events and other climate change impacts, state, regional, and local transportation agencies should develop plans to minimize risks, move infrastructure from vulnerable areas when necessary and feasible, or otherwise reduce vulnerabilities.
Virginia|2008|63|124|The workgroup recommended that, at a minimum, Virginia should plan for a 3.6°F increase in air and water temperatures, and at least a 2.3 foot rise in sea level. The full range of sea level rise expected throughout the Chesapeake Bay region is estimated to be between 2.3-5.2 feet, with great local variability as a result of subsidence (or land sinking). Air and water temperatures are projected to increase 3.6-10.8° F. Changes in precipitation and weather patterns are more difficult to estimate, although there has been scientific consensus that most of Virginia will experience a slight (0 to10%) increase in precipitation and an increase in coastal storm intensity (IPCC, 2008; Pyke et al, 2008). While it is unlikely Virginia will see drastic changes in the next few years, advance planning is recommended, given the scale of many adaptation efforts and the risks associated with being unprepared for key impacts (e.g., large scale coastal flooding from sea level rise).
Virginia|2008|88|124|The life cycles of animals and plants are closely tied to temperature cues. For example, many Chesapeake Bay fish are triggered to spawn when water temperatures reach about 15o C in the spring. Since 1960, springtime has advanced by three weeks, causing fish to spawn much earlier in the year. Similar shifts also have been documented in many other types of plants and animals, causing changes to typical predator/prey relationships. One such shift has been observed in jellyfish within the Bay. Jellyfish have been blooming earlier in the year, consuming zooplankton and potentially depriving later arrivals of juvenile fish of this food source.
Vermont|2007|7|14|Cost-effectively enhance energy efficiency by developing mechanisms to extend Vermont’s existing and highly effective demand-side management (DSM) efforts to include additional fuels beyond electricity and natural gas, especially heating oil used in residential, commercial, and industrial establishments.
Vermont|2007|8|14|Future development along the lines of Vermont’s historic settlement pattern of compact town centers surrounded by open countryside will also provide multiple benefits. Not only would it be consistent with Vermont’s traditional character, it would reduce travel demand and create a more transit-oriented pattern of growth. In the long run, this will help bend the upward curve of Vehicle Miles Traveled (VMT), which is the most significant source of greenhouse gas production in Vermont.
Vermont|2007|10|14|In particular, we urge the Governor to insure Vermont state government leads by example by:  Creating a climate change cabinet that will coordinate climate change efforts across all agencies and initiate the review and accountability process with respect to the further analysis and development of the 38 recommendations of the plenary group;  Completing the transformation of the fleet of government vehicles into a model of fuel efficiency by purchasing hybrid vehicles or other highly efficient modes of transportation as appropriate to its needs and uses, and challenging other major institutions and enterprises in Vermont to follow the government lead.  Developing an internal carbon offset program within state government specific to functions, such as air travel, which may not be possible to eliminate or dramatically alter by behavior changes, and using the proceeds from such offsets for the purposes of supporting renewable energy or carbon sequestration initiatives in Vermont.
Vermont|2007|12|14|Pursue the potential of the “green economy” as an opportunity to explore new economic models and paradigms and encourage innovation as well as creating new, job-creating enterprises devoted to environmental technologies and new markets.
Vermont|2007|12|14|Ensure that the collective resources of the State are coordinated and effectively deployed to address research and implementation of energy efficiency and conservation initiatives, including matching federal grants with public and private funds already committed to environmental initiatives.
Vermont|2018|10|123|While emissions rose in each energy sector, the 2015 inventory highlights the fundamental imperative that Vermont more aggressively address emissions from the unregulated fuels sectors in particular – transportation and residential, commercial, and industrial fuel. We will not meet this challenge otherwise despite a strong focus on transforming our energy sector – primarily our electric supply.
Vermont|2018|47|123|The State, Vermont households, and Vermont municipalities can realize significant capital, operational, and maintenance savings by growing smartly. Smart growth reduces initial and ongoing costs Vermonters pay to provide and maintain public infrastructure, facilities and municipal services through efficient economies of scale. Compact development is a wise investment: it means more subscribers per linear foot of sewer and water line, more children served per mile of bus route, fewer trips that must be taken by vehicle, and more efficient public safety response time. Bottom line: development of compact centers surrounded by working and natural lands generates more public wealth and costs less to service than the sprawl alternative. Financial solvency isn’t an afterthought – it is a prerequisite to long-term prosperity. Smart growth accounts for revenues, expenses, assets, and long-term liabilities.
Vermont|2018|58|123|Over the last decade, adoption by Vermont farmers of these soil-building practices has resulted in the rebuilding of soil health. These soil health improvements have the co-benefits of improving water quality and enhancing flood resiliency while increasing sequestered carbon in the soil and decreasing greenhouse gas emissions from agricultural lands. New regulations (Vermont Clean Water Act) have promoted these practices for their water quality value and have increased funding for implementation and education. Vermont farmers also lead in trying innovative practices like a roller crimper that increases the return of organic matter in cover crop residues to a field, with lower chemical inputs.
Vermont|2018|69|123|Developing forest or farmland eliminates much of the stored carbon. Conservation easements are a valuable tool for keeping agricultural and forest land undeveloped. Funding for the Vermont Housing Conservation Board should be continued, with priority given to projects that emphasize the aggregation of like-minded and neighboring landowners to maximize the conservation values and set the stage for future aggregated forest carbon offset projects.
Vermont|2018|78|123|Grid modernization is not as attractive for investors as recent investments in renewable energy generation, yet the sector offers great promise to consumers, businesses and utilities. Understanding its economic value will enable the State and Stakeholders to identify innovations for future use of the grid that in turn will facilitate the realization of beneficial greenhouse gas reduction policies.
Washington|2014|11|96|A market mechanism program aims to align private economic incentives with a public policy commitment to reduce GHG emissions. Under a market mechanism, entities have flexibility to either pay the internalized carbon price or reduce their emissions to reduce their exposure to carbon prices. In contrast, direct regulation would generally require specific emissions standards or installation of particular technologies. Market mechanisms aim to provide greater compliance flexibility at a lower overall cost.
Washington|2014|25|96|There are important short-term public health gains related to the reduction in black carbon emissions from diesel exhaust and wood smoke. There are a number of environmental justice communities that are close to ports and transportation corridors that have high cancer risk and high rates of juvenile asthma that could see substantial public health benefit from black carbon reduction efforts. This is one area where revenue from a carbon limit should be directed.
Washington|2014|51|96|Millions of people are scrambling now to rebuild their lives in the wake of intensifying climate-related disasters, and we’ve “only” raised the average global temperature by less than 1 degree C. This isn’t hypothetical. There are victims, now. And there are the prospective victims of still preventable disasters – our kids and theirs. If my comments reflect impatience, it’s because I’m increasingly disturbed by how comfortable, fortunate people (myself included) – people with immense capacity and responsibility for delivering solutions – inch forward so timidly while significant and growing populations who did little to cause the problem are ravaged by floods, storms, droughts.
Washington|2014|60|96|The most vulnerable populations include the elderly, pregnant women, low income and minority communities, people with chronic illnesses ... and of course our children. Looking just at the respiratory impacts of climate change, children breathe deeper than adults so pound for pound they inhale more toxic pollutants than adults; what can make an eight year old cough can literally make an infant stop breathing.
Washington|2014|80|96|If the Governor should propose a cap-and-trade system, his policy must exclude the option of offsets. Any purchase of offsets decreases emission reductions within the state, thereby missing important opportunities to improve public health. At best, even the strictest offset protocols are very difficult to monitor. Proving any externality (a key component to offset protocols set forth by the Western Climate Initiative) is difficult, and quantifying it is nearly impossible. It also requires that certain sectors be exempt from the cap in order to serve as options for offsets, including agriculture. Other jurisdictions, including California, have found that offsets in other countries have led to serious human rights abuses by pushing indigenous populations off their land to increase forestry. If Washington is to approach climate change mitigation with long-term goals in mind, any “short cuts” or loopholes like offsets allow industries to procrastinate their commitment to carbon emission reductions.
Wisconsin|2008|10|239|As in the Agriculture and Forestry sectors, the policies recommended by the Task Force consist of a series of voluntary programs, supported by incentives, to reduce direct emissions from industrial activities. In contrast to other sectors, GHG emissions in the industrial sector have been declining. Given this fact, cost competitive concerns and recognition that industry will experience an increase in energy prices as a result of Task Force recommendations, voluntary policies were viewed as appropriate. However, as with Agriculture and Forestry sectors, the Task Force recommends that in 2012 the state review the success of voluntary programs and, if additional progress in reducing emissions is not being made, consider mandatory measures, with appropriate funding, to the extent that industrial sources are not included in a Cap and Trade Program by that time.
Wisconsin|2008|15|239|For the long-term, substantial R&D of low- carbon technologies will be essential. The Task Force’s recommendations do not try to pick future technology winners, which would be difficult and risky. Instead, increased R&D, at the federal and state levels, are recommended for renewable technologies, clean coal technologies such as capture and sequestration of CO2, and other strategies to reduce GHG emissions, including demand-side measures. Funding for R&D related to climate change adaptation also is recommended.
Wisconsin|2008|91|239|These assumptions result in the following reduction calculations: estimates for new commercial buildings are based on two policies: (1) the commercial building code update is estimated to yield a reduction of 55,000 metric tons of CO2 in 2010; (2) the Commercial Green Building Code is estimated to yield an incremental reduction of 36,700 metric tons of CO2. By 2020 these two policies are estimated to yield total reductions of approximately 1.7 million metric tons of CO2. By 2020 improved residential/multi- family codes are estimated to yield a reduction of 0.3 million metric tons of CO2. Annual reductions, when totaled, are estimated at 2.0 million metric tons of CO2 by 2020.
Wisconsin|2008|238|239|The freight industry in general is facing significant cost impacts due to the price associated with Tier 4 emission regulations (e.g. fine particles and NOx emissions). Anti-idling regulations will further add cost pressure. Operators/companies unable to absorb the costs will leave the industry, though growth by more competitive fleets may dampen employment losses. Drivers may choose to deliver cargoes and then leave regulated areas to park in locations where they can idle without restrictions. This could impact businesses supporting the trucking industry in Wisconsin.
Wisconsin|2008||239|Offset projects can be implemented by a party outside the regulated cap and trade program. Offset projects can also be implemented by a regulated entity through activities outside their regulated portfolio. Criteria. A project must demonstrate that emission reductions would not otherwise have occurred. Emissions reductions from a project must be verified, quantified, enforceable and permanent. The overarching program objective is to have projects that result in certified offsets that are compatible with and “recognized” by other programs. It should be recognized that as GHG policies develop, an increasing share of reductions previously made voluntarily may become mandatory and therefore no longer qualify as offsets. Offset buyers must be aware of and plan for this risk.
